original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL
Never go to building 6;[]!building_6;G!building_6;['building_6'];Never go to building_6;{'building 6': 'building_6'};{'building_6': 'ap_0'};G!ap_0
Never go to street 5 as you pick up box 4 from house 2;[]!street_5&&<>(house_2&&p_box_4);G!street_5 & F(house_2 & p_box_4);['street_5', 'house_2', 'p_box_4'];Never go to street_5 as you pick up p_box_4 from house_2;{'street 5': 'street_5', 'house 2': 'house_2', 'box 4': 'p_box_4'};{'street_5': 'ap_0', 'house_2': 'ap_1', 'p_box_4': 'ap_2'};G!ap_0 & F(ap_1 & ap_2)
Always be in locality 5 as you take package 5 from office 3 to office 6;[]locality_5&&<>(office_3&&<>(p_package_5&&<>(office_6&&pd)));Glocality_5 & F(office_3 & F(p_package_5 & F(office_6 & pd)));['pd', 'office_3', 'p_package_5', 'office_6', 'locality_5'];Always be in locality_5 as you take p_package_5 from office_3 to office_6;{'pd': 'pd', 'office 3': 'office_3', 'package 5': 'p_package_5', 'office 6': 'office_6', 'locality 5': 'locality_5'};{'pd': 'ap_0', 'office_3': 'ap_1', 'p_package_5': 'ap_2', 'office_6': 'ap_3', 'locality_5': 'ap_4'};Gap_4 & F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Keep visiting charger 5 as you keep taking a picture of region 4;[]<>charger_5&&[]<>(region_4 && photo);GFcharger_5 & GF(photo & region_4);['photo', 'charger_5', 'region_4'];Keep visiting charger_5 as you keep taking a picture of region_4;{'photo': 'photo', 'charger 5': 'charger_5', 'region 4': 'region_4'};{'photo': 'ap_0', 'charger_5': 'ap_1', 'region_4': 'ap_2'};GFap_1 & GF(ap_0 & ap_2)
Keep visiting area 5;[]<>area_5;GFarea_5;['area_5'];Keep visiting area_5;{'area 5': 'area_5'};{'area_5': 'ap_0'};GFap_0
Deliver box 4 from house 5 to office 2;<>(house_5&&<>(p_box_4&&<>(office_2&&pd)));F(house_5 & F(p_box_4 & F(office_2 & pd)));['pd', 'house_5', 'p_box_4', 'office_2'];Deliver p_box_4 from house_5 to office_2;{'pd': 'pd', 'house 5': 'house_5', 'box 4': 'p_box_4', 'office 2': 'office_2'};{'pd': 'ap_0', 'house_5': 'ap_1', 'p_box_4': 'ap_2', 'office_2': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Do not go to intersection 5 until you reach street 4 as you take pass 4 from house 4 to office 1;!intersection_5 U street_4&&<>(house_4&&<>(p_pass_4&&<>(office_1&&pd)));(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd)));['pd', 'street_4', 'house_4', 'intersection_5', 'p_pass_4', 'office_1'];Do not go to intersection_5 until you reach street_4 as you take p_pass_4 from house_4 to office_1;{'pd': 'pd', 'street 4': 'street_4', 'house 4': 'house_4', 'intersection 5': 'intersection_5', 'pass 4': 'p_pass_4', 'office 1': 'office_1'};{'pd': 'ap_0', 'street_4': 'ap_1', 'house_4': 'ap_2', 'intersection_5': 'ap_3', 'p_pass_4': 'ap_4', 'office_1': 'ap_5'};(!ap_3 U ap_1) & F(ap_2 & F(ap_4 & F(ap_5 & ap_0)))
Go to park 5;<>park_5;Fpark_5;['park_5'];Go to park_5;{'park 5': 'park_5'};{'park_5': 'ap_0'};Fap_0
Keep delivering crate 8 from mall 5 to office 6;[]<>(mall_5&&<>(p_crate_8&&<>(office_6&&pd)));GF(mall_5 & F(p_crate_8 & F(office_6 & pd)));['pd', 'mall_5', 'p_crate_8', 'office_6'];Keep delivering p_crate_8 from mall_5 to office_6;{'pd': 'pd', 'mall 5': 'mall_5', 'crate 8': 'p_crate_8', 'office 6': 'office_6'};{'pd': 'ap_0', 'mall_5': 'ap_1', 'p_crate_8': 'ap_2', 'office_6': 'ap_3'};GF(ap_1 & F(ap_2 & F(ap_3 & ap_0)))
Stay in parking lot 4 until you take a picture of car 5;parking_lot_4 U (car_5&&photo);parking_lot_4 U (car_5 & photo);['photo', 'parking_lot_4', 'car_5'];Stay in parking_lot_4 until you take a picture of car_5;{'photo': 'photo', 'parking lot 4': 'parking_lot_4', 'car 5': 'car_5'};{'photo': 'ap_0', 'parking_lot_4': 'ap_1', 'car_5': 'ap_2'};ap_1 U (ap_2 & ap_0)
Do not enter building 8 until you reach parking lot 8;!building_8 U parking_lot_8;!building_8 U parking_lot_8;['building_8', 'parking_lot_8'];Do not enter building_8 until you reach parking_lot_8;{'building 8': 'building_8', 'parking lot 8': 'parking_lot_8'};{'building_8': 'ap_0', 'parking_lot_8': 'ap_1'};!ap_0 U ap_1
Never pick up crate 8;[]!p_crate_8;G!p_crate_8;['p_crate_8'];Never pick up p_crate_8;{'crate 8': 'p_crate_8'};{'p_crate_8': 'ap_0'};G!ap_0
Take a picture of car 1 while never entering street 6;[]!street_6&&<>(car_1&&photo);G!street_6 & F(car_1 & photo);['photo', 'street_6', 'car_1'];Take a picture of car_1 while never entering street_6;{'photo': 'photo', 'street 6': 'street_6', 'car 1': 'car_1'};{'photo': 'ap_0', 'street_6': 'ap_1', 'car_1': 'ap_2'};G!ap_1 & F(ap_2 & ap_0)
Keep visiting parking lot 4 as you take document 4 from car 5 to car 6;[]<>parking_lot_4&&<>(car_5&&<>(p_document_4&&<>(car_6&&pd)));GFparking_lot_4 & F(car_5 & F(p_document_4 & F(car_6 & pd)));['pd', 'parking_lot_4', 'car_5', 'p_document_4', 'car_6'];Keep visiting parking_lot_4 as you take p_document_4 from car_5 to car_6;{'pd': 'pd', 'parking lot 4': 'parking_lot_4', 'car 5': 'car_5', 'document 4': 'p_document_4', 'car 6': 'car_6'};{'pd': 'ap_0', 'parking_lot_4': 'ap_1', 'car_5': 'ap_2', 'p_document_4': 'ap_3', 'car_6': 'ap_4'};GFap_1 & F(ap_2 & F(ap_3 & F(ap_4 & ap_0)))
Stay in building 2 until you reach path 3;building_2 U path_3;building_2 U path_3;['building_2', 'path_3'];Stay in building_2 until you reach path_3;{'building 2': 'building_2', 'path 3': 'path_3'};{'building_2': 'ap_0', 'path_3': 'ap_1'};ap_0 U ap_1
Go to building 9 and stay there, but do not go to building 9 until you reach street 6;<>[]building_9&&!building_9 U street_6;FGbuilding_9 & (!building_9 U street_6);['street_6', 'building_9'];Go to building_9 and stay there, but do not go to building_9 until you reach street_6;{'street 6': 'street_6', 'building 9': 'building_9'};{'street_6': 'ap_0', 'building_9': 'ap_1'};FGap_1 & (!ap_1 U ap_0)
Deliver box 8 from store 5 to house 1;<>(store_5&&<>(p_box_8&&<>(house_1&&pd)));F(store_5 & F(p_box_8 & F(house_1 & pd)));['pd', 'house_1', 'p_box_8', 'store_5'];Deliver p_box_8 from store_5 to house_1;{'pd': 'pd', 'house 1': 'house_1', 'box 8': 'p_box_8', 'store 5': 'store_5'};{'pd': 'ap_0', 'house_1': 'ap_1', 'p_box_8': 'ap_2', 'store_5': 'ap_3'};F(ap_3 & F(ap_2 & F(ap_1 & ap_0)))
Keep taking a picture of intersection 4;[]<>(intersection_4&&photo);GF(intersection_4 & photo);['photo', 'intersection_4'];Keep taking a picture of intersection_4;{'photo': 'photo', 'intersection 4': 'intersection_4'};{'photo': 'ap_0', 'intersection_4': 'ap_1'};GF(ap_1 & ap_0)
Go to landmark 9 and take a picture and stay there;<>(landmark_9&&photo&&[]landmark_9);F(landmark_9 & photo & Glandmark_9);['photo', 'landmark_9'];Go to landmark_9 and take a picture and stay there;{'photo': 'photo', 'landmark 9': 'landmark_9'};{'photo': 'ap_0', 'landmark_9': 'ap_1'};F(ap_1 & ap_0 & Gap_1)
Do not go to office 4 until you pick pass 6 as you deliver pass 6 from house 5 to office 4;!office_4 U p_pass_6&&<>(house_5&&<>(p_pass_6&&<>(office_4&&pd)));(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd)));['pd', 'office_4', 'house_5', 'p_pass_6'];Do not go to office_4 until you pick p_pass_6 as you deliver p_pass_6 from house_5 to office_4;{'pd': 'pd', 'office 4': 'office_4', 'house 5': 'house_5', 'pass 6': 'p_pass_6'};{'pd': 'ap_0', 'office_4': 'ap_1', 'house_5': 'ap_2', 'p_pass_6': 'ap_3'};(!ap_1 U ap_3) & F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Go to statue 7 and take a picture;<>(statue_7&&photo);F(photo & statue_7);['photo', 'statue_7'];Go to statue_7 and take a picture;{'photo': 'photo', 'statue 7': 'statue_7'};{'photo': 'ap_0', 'statue_7': 'ap_1'};F(ap_0 & ap_1)
Keep taking crate 8 from warehouse 4 to store 8 and also keep visiting charger 2;[]<>(warehouse_4&&<>(p_crate_8&&<>(store_8&&pd)))&&[]<>charger_2;GF(warehouse_4 & F(p_crate_8 & F(pd & store_8))) & GFcharger_2;['pd', 'store_8', 'p_crate_8', 'warehouse_4', 'charger_2'];Keep taking p_crate_8 from warehouse_4 to store_8 and also keep visiting charger_2;{'pd': 'pd', 'store 8': 'store_8', 'crate 8': 'p_crate_8', 'warehouse 4': 'warehouse_4', 'charger 2': 'charger_2'};{'pd': 'ap_0', 'store_8': 'ap_1', 'p_crate_8': 'ap_2', 'warehouse_4': 'ap_3', 'charger_2': 'ap_4'};GF(ap_3 & F(ap_2 & F(ap_0 & ap_1))) & GFap_4
Stay in locality 3 until you reach office 4;locality_3 U office_4;locality_3 U office_4;['office_4', 'locality_3'];Stay in locality_3 until you reach office_4;{'office 4': 'office_4', 'locality 3': 'locality_3'};{'office_4': 'ap_0', 'locality_3': 'ap_1'};ap_1 U ap_0
Take letter 4 from office 5 to house 2;<>(office_5&&<>(p_letter_4&&<>(house_2&&pd)));F(office_5 & F(p_letter_4 & F(house_2 & pd)));['pd', 'house_2', 'office_5', 'p_letter_4'];Take p_letter_4 from office_5 to house_2;{'pd': 'pd', 'house 2': 'house_2', 'office 5': 'office_5', 'letter 4': 'p_letter_4'};{'pd': 'ap_0', 'house_2': 'ap_1', 'office_5': 'ap_2', 'p_letter_4': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Do not go to park 3 as you take a picture of monument 3;[]!park_3&&<>(monument_3&&photo);G!park_3 & F(monument_3 & photo);['photo', 'monument_3', 'park_3'];Do not go to park_3 as you take a picture of monument_3;{'photo': 'photo', 'monument 3': 'monument_3', 'park 3': 'park_3'};{'photo': 'ap_0', 'monument_3': 'ap_1', 'park_3': 'ap_2'};G!ap_2 & F(ap_1 & ap_0)
Take a picture of monument 1 but do not go to monument 1 until you reach park 4;<>(monument_1&&photo)&&!monument_1 U park_4;F(monument_1 & photo) & (!monument_1 U park_4);['photo', 'park_4', 'monument_1'];Take a picture of monument_1 but do not go to monument_1 until you reach park_4;{'photo': 'photo', 'park 4': 'park_4', 'monument 1': 'monument_1'};{'photo': 'ap_0', 'park_4': 'ap_1', 'monument_1': 'ap_2'};F(ap_2 & ap_0) & (!ap_2 U ap_1)
Go to street 5 and then go to house 4;<>(street_5&&<>house_4);F(street_5 & Fhouse_4);['street_5', 'house_4'];Go to street_5 and then go to house_4;{'street 5': 'street_5', 'house 4': 'house_4'};{'street_5': 'ap_0', 'house_4': 'ap_1'};F(ap_0 & Fap_1)
Stay in house 4 until you reach room 2;house_4 U room_2;house_4 U room_2;['house_4', 'room_2'];Stay in house_4 until you reach room_2;{'house 4': 'house_4', 'room 2': 'room_2'};{'house_4': 'ap_0', 'room_2': 'ap_1'};ap_0 U ap_1
Never go to house 4 to pick up bottle 2;[]!(house_4&&p_bottle_2);G!(house_4 & p_bottle_2);['house_4', 'p_bottle_2'];Never go to house_4 to pick up p_bottle_2;{'house 4': 'house_4', 'bottle 2': 'p_bottle_2'};{'house_4': 'ap_0', 'p_bottle_2': 'ap_1'};G!(ap_0 & ap_1)
Stay in area 3;[]area_3;Garea_3;['area_3'];Stay in area_3;{'area 3': 'area_3'};{'area_3': 'ap_0'};Gap_0
Go to mall 5 and stay there;<>[]mall_5;FGmall_5;['mall_5'];Go to mall_5 and stay there;{'mall 5': 'mall_5'};{'mall_5': 'ap_0'};FGap_0
Avoid entering parking lot 8 as you go to street 5;[]!parking_lot_8&&<>street_5;G!parking_lot_8 & Fstreet_5;['street_5', 'parking_lot_8'];Avoid entering parking_lot_8 as you go to street_5;{'street 5': 'street_5', 'parking lot 8': 'parking_lot_8'};{'street_5': 'ap_0', 'parking_lot_8': 'ap_1'};G!ap_1 & Fap_0
Keep visiting charger 9 as you keep taking crate 2 from warehouse 8 to store 2;[]<>charger_9&&[]<>(warehouse_8&&<>(p_crate_2&&<>(store_2&&pd)));GFcharger_9 & GF(warehouse_8 & F(p_crate_2 & F(pd & store_2)));['pd', 'charger_9', 'warehouse_8', 'p_crate_2', 'store_2'];Keep visiting charger_9 as you keep taking p_crate_2 from warehouse_8 to store_2;{'pd': 'pd', 'charger 9': 'charger_9', 'warehouse 8': 'warehouse_8', 'crate 2': 'p_crate_2', 'store 2': 'store_2'};{'pd': 'ap_0', 'charger_9': 'ap_1', 'warehouse_8': 'ap_2', 'p_crate_2': 'ap_3', 'store_2': 'ap_4'};GFap_1 & GF(ap_2 & F(ap_3 & F(ap_0 & ap_4)))
Do not go to street 4 until you reach intersection 6 as you go to and stay in street 4;!street_4 U intersection_6&&<>[]street_4;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];Do not go to street_4 until you reach intersection_6 as you go to and stay in street_4;{'street 4': 'street_4', 'intersection 6': 'intersection_6'};{'street_4': 'ap_0', 'intersection_6': 'ap_1'};(!ap_0 U ap_1) & FGap_0
Deliver box 2 from office 4 to house 1;<>(office_4&&<>(p_box_2&&<>(house_1&&pd)));F(office_4 & F(p_box_2 & F(house_1 & pd)));['pd', 'house_1', 'office_4', 'p_box_2'];Deliver p_box_2 from office_4 to house_1;{'pd': 'pd', 'house 1': 'house_1', 'office 4': 'office_4', 'box 2': 'p_box_2'};{'pd': 'ap_0', 'house_1': 'ap_1', 'office_4': 'ap_2', 'p_box_2': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Avoid landmark 5 until you reach park 5, and eventually take a picture of landmark 5.;!landmark_5 U park_5&&<>(landmark_5&&photo);(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];Avoid landmark_5 until you reach park_5, and eventually take a picture of landmark_5.;{'photo': 'photo', 'park 5': 'park_5', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'landmark_5': 'ap_2'};(!ap_2 U ap_1) & F(ap_2 & ap_0)
Go to park 5 and then take a picture of monument 3;<>(park_5&&<>(monument_3&&photo));F(park_5 & F(monument_3 & photo));['photo', 'park_5', 'monument_3'];Go to park_5 and then take a picture of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2'};F(ap_1 & F(ap_2 & ap_0))
Stay in county 4 and keep taking package 4 from office 3 to office 8;[]county_4&&[]<>(office_3&&<>(p_package_4&&<>(office_8&&pd)));Gcounty_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd)));['pd', 'p_package_4', 'county_4', 'office_3', 'office_8'];Stay in county_4 and keep taking p_package_4 from office_3 to office_8;{'pd': 'pd', 'package 4': 'p_package_4', 'county 4': 'county_4', 'office 3': 'office_3', 'office 8': 'office_8'};{'pd': 'ap_0', 'p_package_4': 'ap_1', 'county_4': 'ap_2', 'office_3': 'ap_3', 'office_8': 'ap_4'};Gap_2 & GF(ap_3 & F(ap_1 & F(ap_4 & ap_0)))
Stay away from intersection 4 until you reach street 5;!intersection_4 U street_5;!intersection_4 U street_5;['street_5', 'intersection_4'];Stay away from intersection_4 until you reach street_5;{'street 5': 'street_5', 'intersection 4': 'intersection_4'};{'street_5': 'ap_0', 'intersection_4': 'ap_1'};!ap_1 U ap_0
stay in park 4 until you take the picture of statue 9;park_4 U (statue_9&&photo);park_4 U (photo & statue_9);['photo', 'park_4', 'statue_9'];stay in park_4 until you take the picture of statue_9;{'photo': 'photo', 'park 4': 'park_4', 'statue 9': 'statue_9'};{'photo': 'ap_0', 'park_4': 'ap_1', 'statue_9': 'ap_2'};ap_1 U (ap_0 & ap_2)
Never go to park 5;[]!park_5;G!park_5;['park_5'];Never go to park_5;{'park 5': 'park_5'};{'park_5': 'ap_0'};G!ap_0
Pick up stack 4 from house 4 and go to street 2 and stay there;<>(house_4&&<>(p_stack_4&&<>(street_2&&[]street_2)));F(house_4 & F(p_stack_4 & F(street_2 & Gstreet_2)));['house_4', 'street_2', 'p_stack_4'];Pick up p_stack_4 from house_4 and go to street_2 and stay there;{'house 4': 'house_4', 'street 2': 'street_2', 'stack 4': 'p_stack_4'};{'house_4': 'ap_0', 'street_2': 'ap_1', 'p_stack_4': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Stay in street 6 until you reach intersection 8;street_6 U intersection_8;street_6 U intersection_8;['street_6', 'intersection_8'];Stay in street_6 until you reach intersection_8;{'street 6': 'street_6', 'intersection 8': 'intersection_8'};{'street_6': 'ap_0', 'intersection_8': 'ap_1'};ap_0 U ap_1
Avoid picking up box 3;[]!p_box_3;G!p_box_3;['p_box_3'];Avoid picking up p_box_3;{'box 3': 'p_box_3'};{'p_box_3': 'ap_0'};G!ap_0
Keep taking crate 1 from storage 4 to office 2;[]<>(storage_4&&<>(p_crate_1&&<>(office_2&&pd)));GF(storage_4 & F(p_crate_1 & F(office_2 & pd)));['pd', 'office_2', 'storage_4', 'p_crate_1'];Keep taking p_crate_1 from storage_4 to office_2;{'pd': 'pd', 'office 2': 'office_2', 'storage 4': 'storage_4', 'crate 1': 'p_crate_1'};{'pd': 'ap_0', 'office_2': 'ap_1', 'storage_4': 'ap_2', 'p_crate_1': 'ap_3'};GF(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Stay in area 5;[]area_5;Garea_5;['area_5'];Stay in area_5;{'area 5': 'area_5'};{'area_5': 'ap_0'};Gap_0
Keep taking a picture of area 51 while you also keep visiting charger 4;[]<>(area_51&&photo)&&[]<>charger_4;GF(area_51 & photo) & GFcharger_4;['photo', 'charger_4', 'area_51'];Keep taking a picture of area_51 while you also keep visiting charger_4;{'photo': 'photo', 'charger 4': 'charger_4', 'area 51': 'area_51'};{'photo': 'ap_0', 'charger_4': 'ap_1', 'area_51': 'ap_2'};GF(ap_2 & ap_0) & GFap_1
Avoid going to store 4 until you reach street 6 as you take package 8 from office 2 to store 4;!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd)));(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4)));['pd', 'street_6', 'p_package_8', 'store_4', 'office_2'];Avoid going to store_4 until you reach street_6 as you take p_package_8 from office_2 to store_4;{'pd': 'pd', 'street 6': 'street_6', 'package 8': 'p_package_8', 'store 4': 'store_4', 'office 2': 'office_2'};{'pd': 'ap_0', 'street_6': 'ap_1', 'p_package_8': 'ap_2', 'store_4': 'ap_3', 'office_2': 'ap_4'};(!ap_3 U ap_1) & F(ap_4 & F(ap_2 & F(ap_0 & ap_3)))
Keep taking images of locality 7, while you never go to park 3;[]<>(locality_7&&photo)&&[]!park_3;GF(locality_7 & photo) & G!park_3;['photo', 'locality_7', 'park_3'];Keep taking images of locality_7, while you never go to park_3;{'photo': 'photo', 'locality 7': 'locality_7', 'park 3': 'park_3'};{'photo': 'ap_0', 'locality_7': 'ap_1', 'park_3': 'ap_2'};GF(ap_1 & ap_0) & G!ap_2
Keep visiting charging station 9 as you keep taking crate 4 from warehouse 5 to mall 4;[]<>charging_station_9&&[]<>(warehouse_5&&<>(p_crate_4&&<>(mall_4&&pd)));GFcharging_station_9 & GF(warehouse_5 & F(p_crate_4 & F(mall_4 & pd)));['p_crate_4', 'pd', 'warehouse_5', 'charging_station_9', 'mall_4'];Keep visiting charging_station_9 as you keep taking p_crate_4 from warehouse_5 to mall_4;{'crate 4': 'p_crate_4', 'pd': 'pd', 'warehouse 5': 'warehouse_5', 'charging station 9': 'charging_station_9', 'mall 4': 'mall_4'};{'p_crate_4': 'ap_0', 'pd': 'ap_1', 'warehouse_5': 'ap_2', 'charging_station_9': 'ap_3', 'mall_4': 'ap_4'};GFap_3 & GF(ap_2 & F(ap_0 & F(ap_4 & ap_1)))
Do not enter parking lot 4 until you reach street 5 as you enter and stay in parking lot 4;!parking_lot_4 U street_5&&<>(parking_lot_4&&[]parking_lot_4);(!parking_lot_4 U street_5) & F(parking_lot_4 & Gparking_lot_4);['street_5', 'parking_lot_4'];Do not enter parking_lot_4 until you reach street_5 as you enter and stay in parking_lot_4;{'street 5': 'street_5', 'parking lot 4': 'parking_lot_4'};{'street_5': 'ap_0', 'parking_lot_4': 'ap_1'};(!ap_1 U ap_0) & F(ap_1 & Gap_1)
Keep taking a picture of building 5 while you also keep visiting charger 4;[]<>(building_5&&photo)&&[]<>charger_4;GF(building_5 & photo) & GFcharger_4;['photo', 'building_5', 'charger_4'];Keep taking a picture of building_5 while you also keep visiting charger_4;{'photo': 'photo', 'building 5': 'building_5', 'charger 4': 'charger_4'};{'photo': 'ap_0', 'building_5': 'ap_1', 'charger_4': 'ap_2'};GF(ap_1 & ap_0) & GFap_2
Take box 5 to store 6 after picking it up from plant 8;<>(plant_8&&<>(p_box_5&&<>(store_6&&pd)));F(plant_8 & F(p_box_5 & F(pd & store_6)));['pd', 'plant_8', 'p_box_5', 'store_6'];Take p_box_5 to store_6 after picking it up from plant_8;{'pd': 'pd', 'plant 8': 'plant_8', 'box 5': 'p_box_5', 'store 6': 'store_6'};{'pd': 'ap_0', 'plant_8': 'ap_1', 'p_box_5': 'ap_2', 'store_6': 'ap_3'};F(ap_1 & F(ap_2 & F(ap_0 & ap_3)))
Go to statue 6 and take a picture of it while you stay in park 5;<>(statue_6&&photo)&&[]park_5;F(photo & statue_6) & Gpark_5;['photo', 'statue_6', 'park_5'];Go to statue_6 and take a picture of it while you stay in park_5;{'photo': 'photo', 'statue 6': 'statue_6', 'park 5': 'park_5'};{'photo': 'ap_0', 'statue_6': 'ap_1', 'park_5': 'ap_2'};F(ap_0 & ap_1) & Gap_2
Be in park 5 until you take a picture of monument 2 and then go to intersection 5 and stay there;park_5 U (monument_2&&photo&&<>(intersection_5&&[]intersection_5));park_5 U (monument_2 & photo & F(intersection_5 & Gintersection_5));['photo', 'park_5', 'intersection_5', 'monument_2'];Be in park_5 until you take a picture of monument_2 and then go to intersection_5 and stay there;{'photo': 'photo', 'park 5': 'park_5', 'intersection 5': 'intersection_5', 'monument 2': 'monument_2'};{'photo': 'ap_0', 'park_5': 'ap_1', 'intersection_5': 'ap_2', 'monument_2': 'ap_3'};ap_1 U (ap_3 & ap_0 & F(ap_2 & Gap_2))
Go to house 5 and stay there;<>[]house_5;FGhouse_5;['house_5'];Go to house_5 and stay there;{'house 5': 'house_5'};{'house_5': 'ap_0'};FGap_0
Stay in locality 2 as you take document 5 from office 4 to office 9;[]locality_2&&<>(office_4&&<>(p_document_5&&<>(office_9&&pd)));Glocality_2 & F(office_4 & F(p_document_5 & F(office_9 & pd)));['pd', 'office_4', 'locality_2', 'p_document_5', 'office_9'];Stay in locality_2 as you take p_document_5 from office_4 to office_9;{'pd': 'pd', 'office 4': 'office_4', 'locality 2': 'locality_2', 'document 5': 'p_document_5', 'office 9': 'office_9'};{'pd': 'ap_0', 'office_4': 'ap_1', 'locality_2': 'ap_2', 'p_document_5': 'ap_3', 'office_9': 'ap_4'};Gap_2 & F(ap_1 & F(ap_3 & F(ap_4 & ap_0)))
